"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"129","Mark Streit","NYI, PHI","D","211","4625.2","25","98","50","48","123","49.00","348","7.18","21.25","801","495","160","40","11","56","102","51","51","0","0","32","119","52","138","276","297","0","0","-"
"136","Scott Hartnell","CBJ, PHI","L","187","3156.45","56","67","43","24","123","57.75","485","11.55","51.81","790","662","478","241","17","55","273","109","98","7","4","81","96","66","383","253","98","14","22","38.89"
"200","Jussi Jokinen","CAR, FLA, PIT","L","205","3291.1","42","81","46","35","123","71.51","380","11.05","34.03","653","502","358","127","16","35","76","38","38","0","0","33","87","77","103","171","103","536","445","54.64"
"220","Valtteri Filppula","DET, T.B","C","198","3786.6833333333","46","77","45","32","123","65.43","300","15.33","29.81","508","402","306","121","17","23","50","25","25","0","0","59","74","121","74","232","74","1493","1341","52.68"
"603","David Perron","EDM, PIT, STL","L","207","3758.2833333333","55","68","40","28","123","71.93","500","11.00","48.44","874","650","472","182","26","47","196","94","93","0","1","84","91","113","335","309","52","24","49","32.88"
"90","Brad Richards","CHI, NYR","C","204","3529.2","43","79","51","28","122","63.54","568","7.57","43.86","1056","770","468","144","23","52","44","21","21","0","0","24","101","86","81","139","113","1302","1325","49.56"
"143","Niklas Kronwall","DET","D","207","4997.1333333333","22","100","35","65","122","45.52","279","7.89","17.32","641","416","147","30","1","46","128","63","63","0","0","25","123","47","226","232","343","1","0","100.00"
"381","Ryan Callahan","NYR, T.B","R","187","3545.6666666667","57","64","39","25","121","60.80","498","11.45","56.08","854","688","523","301","16","47","77","36","35","1","0","59","63","100","527","279","172","42","51","45.16"
"645","Alex Pietrangelo","STL","D","209","5292.5","20","101","50","51","121","46.90","452","4.42","26.77","1007","698","257","42","22","58","70","31","30","0","1","39","99","96","118","402","426","0","0","-"
"661","Tyler Ennis","BUF","C, L","205","3839.3666666667","51","69","42","27","120","70.18","503","10.14","50.89","825","643","480","252","27","53","95","38","35","1","2","61","67","84","204","257","113","467","718","39.41"
"182","Mike Cammalleri","CGY, N.J","C, L","175","3291.2","66","53","32","21","119","75.32","450","14.67","43.97","794","607","408","146","27","34","79","38","37","1","0","33","90","81","76","96","55","460","509","47.47"
"393","Troy Brouwer","WSH","R","211","3853.8166666667","65","54","28","26","119","49.58","418","15.55","52.74","772","616","512","219","25","46","173","64","54","7","3","43","85","102","524","256","101","585","524","52.75"
"470","Patric Hornqvist","NSH, PIT","R","164","2800.5","51","67","37","30","118","63.44","555","9.19","58.19","882","730","511","288","31","49","80","38","38","0","0","57","28","91","193","336","76","3","12","20.00"
"142","Justin Williams","L.A","R","211","3485.6833333333","48","69","30","39","117","66.86","555","8.65","55.85","961","777","505","240","19","49","99","48","47","1","0","58","160","65","102","357","57","7","15","31.82"
"582","Sam Gagner","ARI, EDM","C","196","3559.5833333333","39","77","46","31","116","67.44","439","8.88","41.61","768","609","381","156","16","50","92","38","35","2","1","24","107","87","131","261","75","1137","1338","45.94"
"848","Mats Zuccarello","NYR","R","170","2912.3166666667","37","79","52","27","116","68.24","351","10.54","36.58","635","486","371","170","9","34","85","41","40","1","0","62","84","110","263","224","98","19","30","38.78"
"913","Brendan Gallagher","MTL","R","207","3263.2833333333","58","58","33","25","116","58.88","582","9.97","66.41","1053","774","621","313","33","93","133","57","53","3","1","75","48","101","130","391","118","98","154","38.89"
"439","Kris Letang","PIT","D","141","3553.2","27","87","41","46","114","51.12","400","6.75","25.71","756","531","224","56","9","46","103","42","39","1","2","40","133","60","219","275","227","0","1","0.00"
"662","John Carlson","WSH","D","212","5007.4166666667","28","86","44","42","114","45.06","498","5.62","24.07","974","682","220","28","18","42","68","33","33","0","0","31","182","114","197","284","500","1","1","50.00"
"756","Brayden Schenn","PHI","C","211","3421.7833333333","46","68","43","25","114","62.98","413","11.14","49.48","746","581","455","224","23","60","110","39","30","8","1","60","61","84","508","356","97","588","734","44.48"
"275","Ryan Suter","MIN","D","207","5958.6","14","99","33","66","113","41.24","391","3.58","18.59","895","572","209","18","13","40","106","51","51","0","0","21","106","72","174","148","333","1","0","100.00"
"292","Loui Eriksson","BOS, DAL","L","190","3470.6166666667","44","69","37","32","113","64.20","388","11.34","43.06","632","535","405","212","21","38","28","14","14","0","0","36","62","105","47","247","54","13","33","28.26"
