"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"749","Alex Chiasson","DAL, OTT","R","162","2309.1833333333","30","38","21","17","68","61.82","262","11.45","37.28","474","375","334","197","13","35","105","43","39","3","1","23","35","50","179","250","43","72","99","42.11"
"870","Brock Nelson","NYI","C","154","2329.3","34","34","14","20","68","56.67","322","10.56","39.27","580","439","394","202","20","28","36","18","18","0","0","43","60","85","173","222","90","545","705","43.60"
"1006","Ryan Strome","NYI","C, R","118","1809.2333333333","24","44","30","14","68","57.14","268","8.96","24.27","423","330","249","111","20","26","55","26","25","1","0","16","74","59","121","97","29","314","379","45.31"
"60","Olli Jokinen","NSH, STL, TOR, WPG","C","189","2989","29","38","28","10","67","64.42","366","7.92","35.33","651","506","328","142","10","32","104","47","46","0","1","29","58","45","275","141","91","1046","1244","45.68"
"173","R.J. Umberger","CBJ, PHI","C","189","3010.2833333333","35","32","22","10","67","56.78","328","10.67","32.97","562","438","319","169","21","33","61","29","28","1","0","46","48","62","278","281","121","88","82","51.76"
"932","Ryan Garbutt","DAL","C","178","2245.9333333333","28","39","24","15","67","72.04","367","7.63","32.85","658","521","326","123","23","36","193","81","74","5","2","63","45","80","290","239","104","27","25","51.92"
"358","Bryan Bickell","CHI","L","187","2250.3333333333","34","32","18","14","66","72.53","288","11.81","22.05","523","384","247","101","23","20","91","34","28","5","1","38","39","59","418","300","36","3","7","30.00"
"491","Erik Johnson","COL","D","158","3631.6333333333","21","45","22","23","66","39.05","336","6.25","15.35","656","447","151","30","13","36","112","41","36","2","3","18","106","94","273","173","295","0","0","-"
"495","Jamie McGinn","COL","L","145","2339.5333333333","34","32","18","14","66","57.39","331","10.27","32.71","575","477","331","159","15","40","62","25","21","4","0","28","38","65","251","153","58","5","4","55.56"
"578","Patrick Maroon","ANA","L","146","1904.7","22","44","33","11","66","62.86","234","9.40","29.51","400","339","263","153","12","30","193","52","27","23","2","53","40","36","266","249","33","18","32","36.00"
"602","Dwight King","L.A","L","205","2923.8333333333","32","34","18","16","66","63.46","298","10.74","30.75","491","408","289","149","18","26","50","21","19","2","0","24","67","49","296","314","40","7","9","43.75"
"707","Jared Spurgeon","MIN","D","172","3850.25","19","47","28","19","66","37.71","286","6.64","18.1","616","423","170","39","5","28","26","13","13","0","0","23","66","60","174","259","286","0","0","-"
"389","Mike Santorelli","FLA, NSH, TOR, VAN, WPG","C","162","2449.7333333333","24","41","22","19","65","65.66","271","8.86","27.83","491","379","289","119","20","25","22","11","11","0","0","21","35","72","90","281","81","357","342","51.07"
"960","Johnny Gaudreau","CGY","L","81","1432.5333333333","25","40","24","16","65","64.36","168","14.88","17.31","284","219","168","78","8","12","14","6","6","0","0","24","78","68","14","44","27","3","5","37.50"
"16","Kimmo Timonen","CHI, PHI","D","138","2736.4666666667","11","53","30","23","64","42.38","240","4.58","11.66","479","337","99","11","5","33","70","35","35","0","0","10","58","26","121","159","206","0","0","-"
"92","Francois Beauchemin","ANA","D","182","4198.2333333333","21","43","15","28","64","29.36","284","7.39","15.28","586","404","137","31","9","27","107","45","41","3","1","19","126","52","298","206","389","1","0","100.00"
"244","Johnny Boychuk","BOS, NYI","D","191","4048.4166666667","15","49","27","22","64","31.37","409","3.67","15.91","827","573","156","23","17","44","71","34","33","1","0","28","94","44","408","498","387","2","0","100.00"
"1055","Hampus Lindholm","ANA","D","156","3212.9666666667","13","51","29","22","64","35.56","223","5.83","11.67","461","299","149","26","11","24","68","34","34","0","0","18","113","51","113","223","138","0","6","0.00"
"7","Sergei Gonchar","DAL, MTL, OTT","D","169","3267.0833333333","6","57","23","34","63","47.73","220","2.73","10.94","524","325","109","12","6","33","64","32","32","0","0","12","90","25","141","224","217","1","0","100.00"
"181","Fedor Tyutin","CBJ","D","184","3968.8333333333","11","52","23","29","63","37.50","199","5.53","11.17","450","313","99","18","7","14","112","56","56","0","0","23","66","35","255","403","264","1","0","100.00"
"147","Jarret Stoll","L.A","C","199","3160.9666666667","21","41","26","15","62","55.86","265","7.92","24.39","462","367","236","109","12","25","134","67","67","0","0","34","49","33","476","250","161","1688","1458","53.66"
"629","Jason Demers","DAL, S.J","D","178","3420.5666666667","11","51","23","28","62","41.33","231","4.76","12.83","549","371","135","20","14","19","111","46","43","1","2","33","130","83","219","295","216","0","0","-"
"700","Matt Calvert","CBJ","L","154","2392.9333333333","31","31","20","11","62","64.58","246","12.60","24.99","435","324","272","117","12","19","111","38","28","9","1","46","44","63","260","242","73","11","14","44.00"
"4","Ray Whitney","DAL","L","101","1584.1333333333","20","41","23","18","61","75.31","186","10.75","19.4","375","273","187","75","12","21","18","9","9","0","0","12","84","54","24","42","30","17","36","32.08"
"85","Scott Gomez","FLA, N.J, S.J","C","143","2089.65","11","50","22","28","61","71.76","184","5.98","15.17","299","246","159","60","11","18","69","25","22","1","2","24","73","62","44","105","42","787","840","48.37"
"95","Shawn Horcoff","DAL, EDM","C","184","2502.0833333333","25","36","22","14","61","54.95","192","13.02","21.33","321","253","218","111","10","16","103","49","48","1","0","17","58","60","167","89","74","691","698","49.75"
"663","Slava Voynov","L.A","D","136","3038.1166666667","10","51","30","21","61","50.00","227","4.41","11.66","558","363","118","13","4","29","60","30","30","0","0","17","121","25","259","238","125","3","0","100.00"
"676","Travis Hamonic","NYI","D","188","4367.8333333333","11","50","23","27","61","33.33","349","3.15","14.34","803","504","171","19","13","39","181","67","58","5","4","38","153","101","365","275","372","0","0","-"
"516","Michael Grabner","NYI","R","143","2013.8833333333","36","24","14","10","60","75.95","308","11.69","32.85","502","400","330","173","37","15","28","14","14","0","0","25","62","109","146","61","65","17","22","43.59"
"761","Ryan Ellis","NSH","D","170","2910.4666666667","17","43","23","20","60","42.55","289","5.88","13.65","527","379","103","17","12","19","66","26","23","2","1","37","81","46","120","263","200","0","0","-"
"792","Sami Vatanen","ANA","D","123","2402.1666666667","20","40","16","24","60","45.11","201","9.95","12.51","420","291","109","15","5","29","58","28","28","0","0","34","71","44","143","221","183","1","1","50.00"
"885","Riley Sheahan","DET","C","122","1849.4166666667","22","38","27","11","60","60.00","183","12.02","22.76","327","259","216","124","5","24","22","11","11","0","0","22","37","40","46","157","36","735","748","49.56"
"1113","Aleksander Barkov","FLA","C","125","2165.6833333333","24","36","21","15","60","61.22","210","11.43","20.27","333","262","205","86","14","22","26","13","13","0","0","16","44","72","51","204","62","862","959","47.34"
"1116","Elias Lindholm","CAR","C","139","2172.8","26","34","19","15","60","62.50","240","10.83","26.49","432","322","227","110","9","29","18","9","9","0","0","12","70","73","157","208","47","221","228","49.22"
"56","Matt Cooke","MIN, PIT","L","159","2334.8833333333","22","37","24","13","59","78.67","189","11.64","17.64","334","253","179","87","10","18","103","42","39","1","2","48","45","56","326","213","124","16","33","32.65"
"141","Steve Ott","BUF, STL","C","208","3293.0833333333","21","38","26","12","59","69.41","249","8.43","23.72","430","332","219","101","14","22","269","96","77","15","4","78","60","46","617","218","70","952","784","54.84"
"281","Steve Bernier","N.J","R","192","2484.4666666667","27","32","19","13","59","61.46","299","9.03","35.35","448","385","304","197","20","28","78","25","19","4","2","46","40","50","305","256","85","12","18","40.00"
"359","Blake Comeau","CBJ, CGY, PIT","L","164","2178.55","27","32","20","12","59","71.08","302","8.94","24.53","558","401","251","98","20","36","121","52","48","3","1","31","45","45","480","192","39","57","55","50.89"
"468","Anton Stralman","NYR, T.B","D","211","4238.1666666667","14","45","21","24","59","27.96","308","4.55","15.11","620","403","169","36","12","38","68","34","34","0","0","28","108","60","254","370","183","0","1","0.00"
"657","Jake Gardiner","TOR","D","171","3588.7833333333","14","45","19","26","59","41.84","248","5.65","13.56","563","366","158","33","10","15","43","19","18","1","0","21","146","78","230","302","185","0","0","-"
"65","Brenden Morrow","DAL, PIT, STL, T.B","L","185","2151.95","28","30","20","10","58","59.18","139","20.14","19.21","242","196","173","100","11","13","177","70","61","7","2","55","48","34","307","188","56","22","31","41.51"
"150","Paul Martin","PIT","D","147","3506.3666666667","12","46","24","22","58","32.77","153","7.84","9.85","378","245","111","25","6","29","46","23","23","0","0","13","66","50","107","227","263","0","0","-"
"474","Dan Girardi","NYR","D","209","4902.6333333333","11","47","18","29","58","28.16","292","3.77","14.71","646","415","161","26","7","29","54","27","27","0","0","23","147","76","517","384","483","0","0","-"
"590","Riley Nash","CAR","C","173","2443.75","22","36","23","13","58","64.44","216","10.19","26.04","381","294","251","135","10","23","49","19","17","1","1","22","50","137","205","319","78","922","991","48.20"
"652","Tyler Myers","BUF, WPG","D","172","3938.3333333333","19","39","22","17","58","40.85","271","7.01","16.1","524","371","152","35","16","27","167","74","70","3","1","34","125","73","230","244","269","0","0","-"
"824","Marcus Kruger","CHI","C","209","2849.1333333333","19","39","25","14","58","75.32","272","6.99","20.71","419","339","236","111","17","13","92","46","46","0","0","32","33","81","63","340","149","1023","913","52.84"
"940","Cory Conacher","BUF, NYI, OTT, T.B","C","141","1881.3333333333","19","39","19","20","58","63.04","191","9.95","18.42","311","246","184","95","10","17","84","38","37","0","1","66","37","40","109","192","43","14","18","43.75"
"1085","Damien Brunner","DET, N.J","R","121","1755.45","25","33","27","6","58","63.74","262","9.54","24.24","487","371","242","93","13","21","46","23","23","0","0","19","41","44","42","80","10","5","12","29.41"
"227","Scottie Upshall","FLA","R","166","2373.5166666667","27","30","21","9","57","73.08","308","8.77","26.63","527","408","271","117","22","32","126","59","57","2","0","68","30","67","300","254","58","75","75","50.00"
"349","Lauri Korpikoski","ARI, PHX","L","169","2697.5","21","36","20","16","57","71.25","274","7.66","28.93","524","393","291","140","16","30","48","23","23","0","0","26","33","63","348","254","113","22","44","33.33"
"681","Jimmy Hayes","CHI, FLA","R","137","1836.7833333333","31","26","18","8","57","57.58","251","12.35","28","396","340","273","141","14","28","38","19","19","0","0","21","26","39","273","174","40","19","27","41.30"
"791","Marcus Foligno","BUF","L","178","2679.9333333333","20","37","23","14","57","65.52","200","10.00","21.62","333","276","183","116","18","11","173","55","39","13","3","49","55","82","507","196","107","248","260","48.82"
"822","Anders Lee","NYI","L","100","1456.1833333333","35","22","12","10","57","63.33","267","13.11","32.29","406","354","301","187","18","27","47","22","21","1","0","15","32","32","217","175","33","2","7","22.22"
"9","Saku Koivu","ANA","C","112","1805.3666666667","19","37","18","19","56","77.78","136","13.97","16.42","237","183","164","73","6","16","64","32","32","0","0","22","55","39","60","69","45","975","943","50.83"
"323","Kyle Brodziak","MIN","C","202","3099.0833333333","25","31","15","16","56","58.95","290","8.62","24.02","520","406","252","102","16","22","128","47","39","6","2","32","52","99","183","148","122","1305","1368","48.82"
"333","David Jones","CGY, COL","R","148","2257.9","26","30","21","9","56","66.67","280","9.29","28.66","476","379","291","158","15","26","34","16","16","0","0","24","50","48","272","161","96","59","66","47.20"
"654","Joe Colborne","CGY, TOR","C","149","2173.8333333333","18","38","21","17","56","68.29","151","11.92","17.71","271","215","187","98","8","17","79","38","37","1","0","22","72","57","298","183","68","405","401","50.25"
"763","Zack Kassian","VAN","R","154","1999.5166666667","31","25","16","9","56","64.37","195","15.90","18.6","356","271","211","90","11","15","256","65","43","10","12","47","59","39","249","133","12","12","29","29.27"
"1054","Morgan Rielly","TOR","D","154","2934.65","10","46","19","27","56","42.11","244","4.10","10.96","526","351","140","16","6","14","26","13","13","0","0","14","134","79","194","228","195","0","0","-"
"1066","Tomas Hertl","S.J","C","119","1760.45","28","28","11","17","56","64.37","243","11.52","31.06","455","344","313","185","10","40","20","10","10","0","0","25","82","47","145","152","46","67","67","50.00"
"116","Chris Kelly","BOS","C","171","2557.9","19","36","18","18","55","67.07","221","8.60","22.23","380","301","219","94","17","24","96","41","38","2","1","44","37","79","241","162","110","761","730","51.04"
"241","Max Talbot","BOS, COL, PHI","C","197","2951.4333333333","18","37","22","15","55","58.51","262","6.87","20.19","410","322","226","106","13","23","97","39","35","3","1","47","45","90","305","298","124","268","307","46.61"
"453","Niklas Hjalmarsson","CHI","D","209","4479.8166666667","9","46","17","29","55","32.93","238","3.78","9.26","547","349","92","11","6","20","100","50","50","0","0","14","210","91","104","436","378","0","0","-"
"671","Patrick Wiercioch","OTT","D","151","2537.7833333333","12","43","24","19","55","44.00","257","4.67","11.94","564","364","135","13","6","31","87","38","36","1","1","14","92","15","132","214","121","0","2","0.00"
"810","Gabriel Bourque","NSH","L","177","2391.3","23","32","21","11","55","63.95","234","9.83","25.66","411","338","242","117","12","25","22","11","11","0","0","26","45","60","250","290","101","7","6","53.85"
"1094","Danny DeKeyser","DET","D","156","3279.3833333333","6","49","17","32","55","41.04","188","3.19","7.89","416","284","81","11","5","22","74","37","37","0","0","27","80","32","147","236","213","0","0","-"
"111","Martin Havlat","N.J, S.J","R","128","1932.7833333333","25","29","20","9","54","66.67","210","11.90","23.6","366","297","216","111","14","23","50","21","20","0","1","22","66","43","26","108","38","1","9","10.00"
"202","David Moss","ARI, PHX","R","184","2632.1666666667","17","37","22","15","54","63.53","329","5.17","32.7","589","459","328","173","18","45","63","29","28","1","0","38","32","65","308","217","119","36","59","37.89"
"418","Devin Setoguchi","CGY, MIN, WPG","R","135","1967","24","30","19","11","54","65.06","238","10.08","26.15","415","314","245","112","12","34","46","21","21","0","0","23","48","42","247","103","61","13","26","33.33"
"433","Marc-Edouard Vlasic","S.J","D","199","4225.5666666667","17","37","16","21","54","29.51","295","5.76","14.3","711","453","169","33","12","36","73","27","24","1","2","37","100","39","129","322","343","0","0","-"
"728","Mike Hoffman","OTT","L","107","1516.35","30","24","16","8","54","64.29","266","11.28","25.01","501","360","263","88","21","35","18","9","9","0","0","18","55","76","66","102","42","15","10","60.00"
"39","Daniel Briere","COL, MTL, PHI","C","160","2118","27","26","14","12","53","60.23","274","9.85","29","444","352","257","142","15","33","58","29","29","0","0","34","39","52","57","107","26","246","263","48.33"
"175","Marcel Goc","FLA, PIT, STL","C","190","2839.9666666667","23","30","12","18","53","59.55","286","8.04","23.21","504","393","244","86","13","16","51","20","18","1","1","21","45","60","279","171","98","1440","1264","53.25"
"226","Tom Gilbert","FLA, MIN, MTL","D","188","3781.1166666667","10","43","20","23","53","35.33","199","5.03","10.7","472","312","112","14","5","22","66","31","31","0","0","21","100","36","138","372","316","0","0","-"
"429","Steve Downie","COL, PHI, PIT","R","136","1787.3666666667","18","35","21","14","53","61.63","194","9.28","18.75","321","247","147","77","9","19","348","108","84","12","12","66","46","40","183","179","53","9","7","56.25"
"454","Darren Helm","DET","C","118","1837.15","27","26","17","9","53","55.79","244","11.07","24.67","425","326","239","102","22","17","28","14","14","0","0","44","36","51","209","169","41","498","485","50.66"
"444","Vladimir Sobotka","STL","L","109","1763.2","17","35","20","15","52","61.90","171","9.94","14.98","342","249","174","63","10","15","107","45","41","3","1","41","12","40","208","148","44","789","530","59.82"
"530","Andrew MacDonald","NYI, PHI","D","188","4309.4333333333","9","43","17","26","52","30.06","199","4.52","11.99","527","324","102","18","8","26","111","54","53","1","0","33","121","59","130","331","451","0","0","-"
"947","Justin Fontaine","MIN","R","137","1657.85","22","30","18","12","52","75.36","183","12.02","18.13","323","255","193","84","13","17","38","19","19","0","0","18","27","46","18","111","50","3","1","75.00"
"1063","Zemgus Girgensons","BUF","C","131","2235.9666666667","23","29","15","14","52","67.53","230","10.00","24.98","374","312","248","124","12","19","39","17","16","1","0","40","27","44","288","240","105","540","700","43.55"
"1115","Seth Jones","NSH","D","159","3141.1666666667","14","38","15","23","52","41.60","223","6.28","12.05","489","321","116","22","13","26","44","22","22","0","0","25","103","66","127","179","189","0","0","-"
"2","Teemu Selanne","ANA","R","110","1625.9333333333","21","30","20","10","51","68.00","207","10.14","24.61","361","289","260","112","14","26","40","11","9","0","2","22","62","39","23","94","18","131","143","47.81"
"505","Jeff Petry","EDM, MTL","D","206","4435.8666666667","17","34","19","15","51","34.93","288","5.90","13.42","655","423","145","30","16","39","113","55","54","1","0","36","225","104","438","314","327","0","1","0.00"
"513","Viktor Stalberg","CHI, NSH","L","142","1841.6833333333","19","32","24","8","51","68.92","254","7.48","21.68","439","349","247","109","13","29","75","35","34","1","0","35","39","61","152","165","49","2","3","40.00"
"531","Erik Condra","OTT","R","192","2500.4833333333","19","32","19","13","51","64.56","264","7.20","25.68","500","378","254","124","24","29","94","43","41","2","0","58","63","101","73","312","129","11","34","24.44"
"694","Dale Weise","MTL, VAN","R","180","1858","19","32","22","10","51","72.86","167","11.38","16.38","275","224","169","93","8","16","136","39","23","14","2","49","31","51","332","190","73","6","18","25.00"
"764","Dmitry Kulikov","FLA","D","188","4026.1333333333","14","37","15","22","51","31.88","262","5.34","13.41","549","379","109","26","6","25","136","53","47","4","2","33","96","55","323","505","246","0","0","-"
"797","David Savard","CBJ","D","156","3182.2166666667","16","35","14","21","51","37.78","176","9.09","6.84","386","262","72","9","3","17","99","47","46","1","0","16","32","26","348","277","188","2","0","100.00"
"992","Matt Nieto","S.J","L","138","2027.45","20","31","18","13","51","68.00","259","7.72","27.34","420","337","250","132","17","28","36","16","16","0","0","21","65","55","31","175","83","3","9","25.00"
"1069","Jacob Trouba","WPG","D","130","2973.9333333333","17","34","17","17","51","38.64","254","6.69","15.91","614","380","162","50","9","36","89","35","32","1","2","34","164","59","192","173","252","0","1","0.00"
"195","Kevin Bieksa","VAN","D","172","3770.7","14","36","14","22","50","30.86","343","4.08","16.95","706","480","200","55","21","46","229","85","71","11","3","54","142","72","313","222","273","1","0","100.00"
"261","Patrick Dwyer","CAR","R","192","2715.5333333333","21","29","18","11","50","68.49","304","6.91","28.51","543","427","305","161","31","43","36","18","18","0","0","36","50","86","309","259","114","31","59","34.44"
"315","Brad Richardson","L.A, VAN","C, R","134","1913.4","20","30","18","12","50","67.57","178","11.24","18.87","338","250","217","90","14","25","79","35","32","3","0","28","29","45","143","156","75","836","764","52.25"
"336","David Clarkson","CBJ, N.J, TOR","R","169","2592.3333333333","30","20","11","9","50","52.63","377","7.96","38.84","617","508","369","186","18","33","277","91","66","21","4","64","53","42","376","434","60","39","80","32.77"
"493","Trevor Lewis","L.A","C","194","2727.3333333333","20","30","17","13","50","66.67","346","5.78","30.93","568","481","304","139","21","28","39","18","17","1","0","44","34","41","420","398","86","234","269","46.52"
"840","Matt Irwin","S.J","D","153","2794.3666666667","16","34","17","17","50","37.04","319","5.02","13.49","662","425","150","26","13","42","63","26","24","1","1","20","99","45","156","317","223","0","1","0.00"
"1102","Michael Raffl","PHI","L","135","1834.5","30","20","13","7","50","64.10","235","12.77","26.07","409","328","258","122","18","19","62","28","26","2","0","30","39","46","285","260","90","96","94","50.53"
"132","Dany Heatley","ANA, MIN","L","118","1866.1833333333","23","26","19","7","49","62.03","201","11.44","24.17","350","271","216","104","6","21","24","12","12","0","0","17","27","30","64","108","55","19","29","39.58"
"197","Ryane Clowe","N.J, NYR, S.J","L","96","1562.6166666667","11","38","25","13","49","65.33","176","6.25","17.46","301","234","167","80","10","18","130","34","20","10","4","22","50","24","202","100","39","6","13","31.58"
"293","Kevin Klein","NSH, NYR","D","189","3496","14","35","16","19","49","37.98","203","6.90","9.83","463","284","119","30","11","21","55","16","9","7","0","22","109","57","303","242","341","0","1","0.00"
"318","Nate Thompson","ANA, T.B","C","206","2753.1333333333","21","28","17","11","49","59.76","250","8.40","25.24","416","343","260","126","10","26","83","32","28","3","1","30","42","75","403","211","128","1363","1272","51.73"
"339","Dustin Penner","ANA, L.A, WSH","R","100","1388.4333333333","16","33","17","16","49","58.33","180","8.89","16.42","298","246","159","79","5","13","48","20","19","0","1","15","43","37","151","114","31","17","35","32.69"
"356","Dave Bolland","CHI, FLA, TOR","C","111","1771.15","21","28","20","8","49","59.76","156","13.46","15.49","259","211","125","59","5","9","94","46","46","0","0","17","38","57","169","91","52","805","981","45.07"
"620","Alec Martinez","L.A","D","144","2504.95","18","31","13","18","49","46.67","212","8.49","13.76","523","340","135","28","6","32","34","17","17","0","0","16","78","18","222","271","223","0","0","-"
"687","Lance Bouma","CGY","C, L","156","2076.1166666667","21","28","18","10","49","62.03","186","11.29","18.73","329","269","198","97","13","15","95","35","29","5","1","42","40","42","445","197","169","51","108","32.08"
"784","Brandon Pirri","CHI, FLA","R","99","1377.4666666667","35","14","5","9","49","76.56","225","15.56","19.85","405","321","189","63","14","17","22","11","11","0","0","21","19","34","64","86","29","296","347","46.03"
"796","Casey Cizikas","NYI","C","195","2431.4666666667","21","28","16","12","49","67.12","214","9.81","26.18","381","293","260","148","25","16","68","34","34","0","0","39","46","96","347","260","119","1079","1063","50.37"
"930","Mark Arcobello","ARI, EDM, NSH, PIT","R","119","1776.3833333333","21","28","14","14","49","76.56","199","10.55","17.46","370","285","190","58","12","26","28","14","14","0","0","21","57","57","189","131","52","680","673","50.26"
"185","Jay McClement","CAR, TOR","C","211","3041.0333333333","19","29","15","14","48","57.14","183","10.38","18.86","336","247","194","101","12","19","60","27","25","2","0","22","55","108","296","304","149","1428","1215","54.03"
"238","Boyd Gordon","EDM, PHX","C","190","2718.5166666667","18","30","18","12","48","66.67","205","8.78","20.71","357","290","199","107","6","27","45","20","19","1","0","20","45","60","80","252","213","1976","1523","56.47"
"242","Sean Bergenheim","FLA, MIN","L","118","1757.9166666667","25","23","16","7","48","68.57","298","8.39","30.15","497","422","306","146","17","31","80","34","33","0","1","28","26","61","184","154","31","4","6","40.00"
"250","Daniel Paille","BOS","L","189","2190.1833333333","25","23","18","5","48","81.36","207","12.08","21.09","337","283","198","108","20","23","26","13","13","0","0","26","50","86","192","243","79","15","19","44.12"
"348","Kyle Chipchura","ARI, PHX","C","196","2161.4166666667","14","34","21","13","48","75.00","164","8.54","15.2","273","210","177","84","10","16","177","51","30","19","2","60","44","85","307","298","45","775","733","51.39"
"404","Rich Peverley","BOS, DAL","C","109","1671.0333333333","13","35","20","15","48","72.73","217","5.99","20.96","352","294","203","86","16","22","31","14","13","1","0","13","50","48","50","127","63","559","381","59.47"
"591","Thomas Hickey","NYI","D","202","3737.85","7","41","19","22","48","33.33","218","3.21","11.93","502","320","141","36","11","17","68","33","33","0","0","24","129","86","216","423","315","1","1","50.00"
"683","Michael Stone","ARI, PHX","D","191","3632.2166666667","16","32","21","11","48","38.71","300","5.33","12.11","676","445","124","8","9","35","114","56","56","0","0","21","32","29","444","327","367","1","0","100.00"
"781","Eric Gelinas","N.J","D","122","2035.5333333333","13","35","23","12","48","48.00","237","5.49","10.98","494","337","95","8","6","22","64","31","31","0","0","13","54","25","182","190","70","0","0","-"
"145","Tomas Kopecky","FLA","R","160","2435.5","21","26","18","8","47","67.14","294","7.14","25.41","501","395","229","102","21","29","74","33","32","0","1","43","33","52","142","250","66","53","66","44.54"
"269","Andre Benoit","BUF, COL, OTT","D","171","3207.4333333333","11","36","16","20","47","36.43","208","5.29","10.59","460","292","110","31","9","27","54","27","27","0","0","16","69","37","125","194","271","0","0","-"
"289","Brian Boyle","NYR, T.B","C","202","2652.15","23","24","15","9","47","65.28","333","6.91","30.34","542","439","328","163","30","25","139","54","47","5","2","45","41","65","435","235","152","981","883","52.63"
"574","Justin Braun","S.J","D","193","3963.95","5","42","16","26","47","30.92","263","1.90","10.94","619","385","136","19","8","36","74","33","32","0","1","31","99","71","209","411","327","0","0","-"
"1011","Jonas Brodin","MIN","D","195","4649.1333333333","13","34","8","26","47","27.81","220","5.91","8.37","470","298","86","11","3","17","40","19","19","0","0","23","84","79","81","241","305","0","0","-"
"169","Tuomo Ruutu","CAR, N.J","L","170","2202.6666666667","19","27","11","16","46","66.67","209","9.09","22.71","388","302","230","105","15","21","80","39","39","0","0","42","64","59","441","323","64","19","35","35.19"
"240","Gregory Campbell","BOS","C","200","2483.9","18","28","17","11","46","63.89","200","9.00","20.05","358","276","210","107","11","21","133","38","22","15","1","36","30","54","324","216","115","886","896","49.72"
"863","Evgeny Kuznetsov","WSH","C","97","1295.5333333333","14","32","19","13","46","66.67","149","9.40","12.66","267","205","133","46","9","10","30","14","14","0","0","14","31","35","50","71","17","309","399","43.64"
"985","Boone Jenner","CBJ","C","103","1580.0833333333","25","21","14","7","46","59.74","210","11.90","23.4","354","281","208","107","9","23","57","26","25","1","0","44","43","46","314","135","62","165","171","49.11"
"40","Dainius Zubrus","N.J","C","178","2893.5333333333","19","26","14","12","45","51.72","215","8.84","20.63","332","280","211","110","12","28","100","48","48","0","0","30","45","44","237","252","89","264","274","49.07"
"71","Andrew Ference","BOS, EDM","D","189","3752.1833333333","10","35","9","26","45","34.62","201","4.98","7.87","473","307","95","13","6","26","137","60","55","5","0","34","124","30","380","347","254","2","3","40.00"
"151","Dominic Moore","NYR","C","155","1987.6833333333","16","29","17","12","45","68.18","212","7.55","18.55","349","279","185","91","12","23","46","23","23","0","0","29","30","48","117","171","69","939","783","54.53"
"152","Lubomir Visnovsky","NYI","D","112","2325.8666666667","11","34","14","20","45","34.88","188","5.85","11.42","408","253","112","27","4","22","38","19","19","0","0","12","94","74","72","77","139","0","1","0.00"
"316","Marc Methot","OTT","D","167","3695.3166666667","9","36","15","21","45","30.00","219","4.11","6.72","398","290","80","13","9","24","77","37","36","1","0","21","87","40","405","257","261","0","1","0.00"
"367","Brandon Prust","MTL","L","172","2248.1333333333","15","30","24","6","45","61.64","166","9.04","14.66","258","208","153","78","13","20","353","97","54","37","6","71","51","38","301","204","95","106","105","50.24"
"421","Marc Staal","NYR","D","173","3682.8333333333","10","35","12","23","45","32.14","209","4.78","11.16","486","310","139","31","5","29","80","40","40","0","0","16","103","88","229","262","243","2","1","66.67"
"423","Jakub Kindl","DET","D","142","2454.9","11","34","12","22","45","38.79","223","4.93","10.56","481","324","99","12","8","26","74","37","37","0","0","20","86","24","134","141","100","0","0","-"
"503","Cal Clutterbuck","MIN, NYI","R","191","2590.3833333333","23","22","15","7","45","65.22","383","6.01","36.16","654","518","353","139","35","28","127","58","56","1","1","71","58","68","768","276","62","14","13","51.85"
"646","Zach Bogosian","BUF, WPG","D","150","3491.7166666667","11","34","13","21","45","32.37","344","3.20","14.29","673","472","133","25","16","30","155","59","53","3","3","27","113","43","362","151","215","0","0","-"
"877","Kevin Hayes","NYR","C","79","1030.2333333333","17","28","25","3","45","84.91","111","15.32","10.93","180","144","127","65","3","15","22","10","10","0","0","7","40","45","57","73","33","247","434","36.27"
"243","Eric Nystrom","DAL, NSH","L","187","2654.3","29","15","6","9","44","55.70","229","12.66","21.3","412","320","218","105","18","19","136","43","28","14","1","48","39","54","380","230","90","21","27","43.75"
"562","Karl Alzner","WSH","D","212","4283.2","8","36","12","24","44","32.35","206","3.88","8.02","469","319","104","11","6","20","60","30","30","0","0","23","91","53","238","400","408","0","0","-"
"606","Carl Gunnarsson","STL, TOR","D","178","3442.1833333333","6","38","11","27","44","30.56","130","4.62","7.14","278","187","73","12","1","14","50","25","25","0","0","16","110","51","286","417","361","0","0","-"
"682","Jori Lehtera","STL","C","75","1215.8","14","30","19","11","44","55.70","104","13.46","10.48","175","133","123","55","4","5","48","24","24","0","0","11","17","40","43","97","35","543","518","51.18"
"847","Christopher Tanev","VAN","D","172","3459.8","10","34","10","24","44","33.59","138","7.25","6.55","315","207","75","7","6","12","30","15","15","0","0","25","81","56","62","479","367","0","0","-"
"297","Colin McDonald","NYI","R","133","1568.1166666667","17","26","15","11","43","70.49","207","8.21","20.35","338","272","195","89","17","19","66","23","18","4","1","44","31","25","409","167","30","13","14","48.15"
"369","Alexei Emelin","MTL","D","165","3231.0166666667","9","34","10","24","43","38.39","134","6.72","5.65","358","220","63","4","4","22","151","60","53","5","2","43","132","31","503","295","290","0","0","-"
