"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"687","Bobby Ryan","ANA","R","245","4657.3","100","92","63","29","192","69.31","732","13.66","77.47","1262","1021","758","337","38","61","181","70","63","3","4","106","120","138","396","406","75","148","233","38.85"
"683","Paul Stastny","COL","C","234","4681.2","63","126","80","46","189","67.50","570","11.05","68.35","902","738","620","360","34","105","140","66","66","0","0","61","81","170","156","169","133","2450","2201","52.68"
"79","Patrik Elias","N.J","C","220","4139.8166666667","66","122","73","49","188","80.00","513","12.87","51.78","866","666","457","187","19","37","72","31","30","0","1","37","150","100","153","178","67","1033","1291","44.45"
"196","Mike Ribeiro","DAL","C","222","4409.4833333333","56","131","83","48","187","74.80","458","12.23","45.5","777","625","429","205","19","30","132","53","50","0","3","73","208","158","301","326","106","1400","1723","44.83"
"350","Jason Pominville","BUF","R","237","4475.4666666667","76","111","64","47","187","70.04","702","10.83","58.22","1195","923","560","222","30","41","49","23","22","1","0","61","97","137","110","268","143","288","362","44.31"
"476","Thomas Vanek","BUF","L","229","3898.9833333333","86","101","60","41","187","68.25","624","13.78","79.9","1028","851","691","421","44","72","118","58","58","0","0","57","128","101","110","154","49","13","28","31.71"
"153","Marian Hossa","CHI","R","203","3965.4833333333","78","107","64","43","185","79.40","652","11.96","63.83","1069","838","679","248","34","49","70","35","35","0","0","49","85","191","162","217","77","6","8","42.86"
"710","James Neal","DAL, PIT","L, R","237","4330.6666666667","89","92","55","37","181","65.82","741","12.01","73.87","1326","1021","798","305","50","73","217","87","79","5","3","96","86","147","441","259","73","31","67","31.63"
"354","Tomas Plekanec","MTL","C","240","4877.0333333333","64","115","67","48","179","72.47","663","9.65","61.09","1175","883","608","208","39","54","166","79","79","0","0","65","143","132","171","185","165","2403","2467","49.34"
"552","Joe Pavelski","S.J","C","223","4449.75","76","102","66","36","178","64.49","779","9.76","83.42","1342","1066","796","390","56","93","81","39","38","1","0","72","148","166","169","302","211","1538","1167","56.86"
"327","Mikko Koivu","MIN","C","206","4217.6333333333","51","126","66","60","177","76.29","566","9.01","51.2","972","772","484","191","28","45","128","63","63","0","0","58","155","166","175","136","102","2134","1800","54.25"
"616","David Krejci","BOS","C","233","4311.1333333333","53","123","77","46","176","70.40","458","11.57","48.62","780","610","477","220","18","39","90","42","40","2","0","58","90","107","207","364","123","1664","1634","50.45"
"178","Vincent Lecavalier","T.B","C","211","4032.5166666667","71","102","57","45","173","70.61","687","10.33","70.38","1147","911","669","305","40","75","156","62","57","2","3","59","107","92","276","148","77","1918","1854","50.85"
"508","Patrice Bergeron","BOS","C","234","4316.3833333333","63","110","77","33","173","69.48","586","10.75","60.12","1046","817","599","255","40","51","74","37","37","0","0","48","68","159","169","237","168","2566","1856","58.03"
"495","Mike Richards","L.A, PHI","C","237","4598.2833333333","72","100","64","36","172","71.67","592","12.16","67.98","1198","888","634","276","42","63","212","81","69","10","2","104","137","144","364","238","176","1841","1815","50.36"
"115","Daniel Briere","PHI","C","222","3868.05","76","94","57","37","170","67.19","613","12.40","68.89","1014","782","618","332","23","81","227","97","92","3","2","94","69","82","137","233","50","854","917","48.22"
"562","Matt Moulson","NYI","L","246","4494.5333333333","97","73","40","33","170","63.67","664","14.61","81.28","1109","864","771","442","40","83","46","23","23","0","0","48","79","157","230","264","140","10","7","58.82"
"464","Alexandre Burrows","VAN","L","234","4168.8333333333","89","78","44","34","167","68.44","559","15.92","62.17","933","760","594","346","29","40","286","116","108","2","6","113","63","146","268","362","116","27","41","39.71"
"484","Dustin Brown","L.A","R","246","4821.1166666667","74","93","60","33","167","63.74","690","10.72","77.13","1263","986","666","320","41","88","161","72","68","3","1","188","183","113","880","484","86","52","63","45.22"
"326","Stephen Weiss","FLA","C","236","4767.8333333333","69","97","53","44","166","65.35","501","13.77","53.98","867","689","519","235","24","53","149","61","57","1","3","46","88","163","187","245","164","2283","2016","53.11"
"96","Shane Doan","PHX","R","233","4508.2","60","105","64","41","165","69.92","682","8.80","69.78","1243","973","653","296","37","69","156","68","63","4","1","64","85","138","531","436","80","176","195","47.44"
"149","Olli Jokinen","CGY, NYR","C","243","4424.0833333333","55","110","59","51","165","65.74","667","8.25","64.83","1144","895","576","251","22","61","173","72","67","3","2","62","168","148","219","184","104","1652","1819","47.59"
"370","Ryane Clowe","S.J","L","233","4112.7833333333","60","104","54","50","164","74.89","555","10.81","60.94","913","707","513","263","26","83","328","108","74","32","2","95","170","124","419","371","91","58","76","43.28"
"517","David Backes","STL","R","243","4701.4666666667","72","92","54","38","164","63.81","608","11.84","71.16","1046","873","658","302","34","69","300","119","105","10","4","116","66","137","705","376","172","1668","1888","46.91"
"373","Jussi Jokinen","CAR","L","230","3965.6","61","102","59","43","163","69.96","414","14.73","49.69","749","584","430","216","22","46","114","54","54","0","0","64","98","117","142","201","111","764","653","53.92"
"87","Daniel Alfredsson","OTT","R","199","3838.3","61","100","55","45","161","70.31","456","13.38","45.67","841","635","424","165","19","40","58","29","29","0","0","38","149","171","135","175","88","36","62","36.73"
"482","Jeff Carter","CBJ, L.A, PHI","C","209","3941.9","90","71","33","38","161","68.51","838","10.74","94.13","1466","1169","835","401","46","95","93","44","43","1","0","30","75","109","141","198","92","1412","1281","52.43"
"275","Scott Hartnell","PHI","L","245","4091.2166666667","75","85","49","36","160","60.61","580","12.93","63.08","953","794","564","316","18","50","431","156","131","17","8","116","120","85","494","358","105","26","52","33.33"
"887","Jamie Benn","DAL","L","222","3732.0333333333","70","90","42","48","160","79.60","562","12.46","55.77","1007","779","586","263","32","56","152","63","56","6","1","87","121","192","446","345","132","540","642","45.69"
"249","Martin Erat","NSH","R","209","3801.3333333333","57","100","54","46","157","72.69","410","13.90","42.1","713","535","414","156","18","45","102","50","50","0","0","59","147","149","157","203","94","103","140","42.39"
"488","Zach Parise","N.J","L","176","3621.6833333333","72","85","56","29","157","71.04","689","10.45","73.57","995","864","623","324","38","63","70","35","35","0","0","93","69","120","186","299","79","52","70","42.62"
"176","Dan Boyle","S.J","D","233","6058.5833333333","33","123","54","69","156","41.71","631","5.23","44.88","1349","903","396","78","15","84","194","78","72","2","4","53","180","97","164","270","406","0","5","0.00"
"185","Alex Tanguay","CGY, T.B","L","223","4043.1666666667","45","110","72","38","155","67.10","295","15.25","36.36","539","425","333","144","23","27","84","42","42","0","0","39","146","118","95","208","115","78","121","39.20"
"450","Duncan Keith","CHI","D","238","6376.0666666667","25","129","56","73","154","42.42","548","4.56","26.94","1276","828","262","38","20","54","115","52","50","1","1","28","192","149","136","310","413","0","0","-"
"251","Radim Vrbata","PHX","R","238","4058.7666666667","78","75","46","29","153","71.16","738","10.57","59.9","1176","951","579","186","35","54","68","34","34","0","0","23","73","98","116","208","60","31","51","37.80"
"334","R.J. Umberger","CBJ","C","241","4548.0666666667","68","84","51","33","152","65.24","641","10.61","79.87","995","837","650","384","35","64","105","43","39","3","1","83","62","125","323","297","200","633","597","51.46"
"1089","Matt Duchene","COL","C","219","3896.6833333333","65","85","46","39","150","67.26","514","12.65","54.31","914","713","560","233","28","62","57","27","26","1","0","67","112","160","151","257","117","1307","1418","47.96"
"297","Antoine Vermette","CBJ, PHX","C","246","4605.5833333333","57","92","51","41","149","63.68","488","11.68","56.64","828","672","502","281","29","61","118","58","58","0","0","53","85","112","338","249","135","2353","1900","55.33"
"998","Erik Karlsson","OTT","D","216","5021.1666666667","37","112","62","50","149","56.44","555","6.67","27.05","1230","778","295","40","14","72","116","58","58","0","0","49","210","154","136","298","187","0","1","0.00"
"343","Derek Roy","BUF","C","195","3780.1","53","95","60","35","148","73.63","480","11.04","48.22","872","646","465","196","27","48","118","59","59","0","0","68","152","134","78","150","113","1534","1548","49.77"
"374","Brooks Laich","WSH","C","242","4447.2333333333","57","91","58","33","148","62.98","620","9.19","73.81","1006","815","631","347","36","57","114","53","51","2","0","64","101","134","326","392","185","1085","1170","48.12"
"586","Andrew Ladd","ATL, CHI, WPG","L","245","4353.1833333333","74","73","38","35","147","64.19","608","12.17","62.99","1019","812","631","299","44","53","170","61","52","6","3","52","109","136","248","358","103","52","63","45.22"
"811","Chris Stewart","COL, STL","R","218","3589.5333333333","71","76","53","23","147","72.77","549","12.93","55.01","857","713","450","253","27","64","235","72","50","17","5","55","89","57","268","222","50","19","34","35.85"
"70","Ryan Smyth","EDM, L.A","L","231","4362.4166666667","64","82","36","46","146","63.48","595","10.76","64.37","916","807","559","389","28","57","159","63","57","3","3","62","150","110","119","424","74","154","190","44.77"
"587","Blake Wheeler","ATL, BOS, WPG","R","243","4136.6833333333","53","93","61","32","146","67.91","546","9.71","55.59","949","771","575","271","34","51","154","72","70","2","0","60","86","109","257","328","126","69","116","37.30"
"15","Nicklas Lidstrom","DET","D","234","5673.3833333333","36","109","47","62","145","41.91","517","6.96","29.14","1072","766","226","30","8","36","72","36","36","0","0","10","109","96","146","126","253","0","0","-"
"286","Justin Williams","L.A","R","204","3468.2","54","91","48","43","145","72.14","594","9.09","54.91","1043","834","542","205","29","71","142","59","55","2","2","60","161","76","121","414","83","22","28","44.00"
"950","Jakub Voracek","CBJ, PHI","R","239","3893.4166666667","48","97","61","36","145","61.70","527","9.11","51.4","921","708","518","240","28","56","84","42","42","0","0","56","98","94","162","237","57","33","61","35.11"
"639","Kris Versteeg","CHI, FLA, PHI, TOR","R","230","4074.5333333333","64","80","50","30","144","65.45","545","11.74","49.91","956","730","478","160","31","35","137","60","56","3","1","73","98","176","132","356","101","161","217","42.59"
"642","Mikhail Grabovski","TOR","C","214","3862.25","62","82","57","25","144","66.36","528","11.74","53.26","993","749","604","237","31","35","121","51","48","1","2","71","130","128","126","377","84","1474","1492","49.70"
"190","Nik Antropov","ATL, WPG","C","221","3714.25","55","88","54","34","143","66.51","326","16.87","39.96","566","458","347","178","14","30","128","62","62","0","0","39","94","90","238","91","115","1024","1270","44.64"
"229","Tim Connolly","BUF, TOR","C","211","3698.6833333333","43","100","52","48","143","72.59","461","9.33","37.78","810","619","370","140","26","37","88","44","44","0","0","42","124","76","76","149","175","1186","1333","47.08"
"233","Martin Havlat","MIN, S.J","R","190","3427.2","47","96","64","32","143","74.87","494","9.51","41.97","835","656","416","169","15","65","108","53","53","0","0","49","103","92","61","159","55","9","20","31.03"
"398","Tomas Fleischmann","COL, FLA, WSH","L","196","3407.6833333333","62","81","56","25","143","67.77","436","14.22","41.94","824","609","465","185","27","46","72","35","35","0","0","45","86","114","83","203","64","273","361","43.06"
"726","Keith Yandle","PHX","D","246","5488.9166666667","34","109","54","55","143","52.00","540","6.30","34.39","1206","834","334","52","22","59","164","63","57","2","4","63","173","78","97","215","262","0","0","-"
"808","Milan Lucic","BOS","L","210","3406.9","65","78","42","36","143","72.22","394","16.50","45.93","734","556","449","189","19","31","296","92","67","18","7","55","106","64","509","327","62","38","60","38.78"
"474","Nathan Horton","BOS, FLA","R","191","3393.45","63","79","47","32","142","63.39","437","14.42","45.28","792","592","481","208","28","37","181","63","51","9","3","53","67","68","140","167","45","58","49","54.21"
"769","Patric Hornqvist","NSH","R","235","3662.4833333333","78","64","35","29","142","66.67","770","10.13","75.9","1141","969","661","363","39","56","115","51","49","1","1","80","55","101","217","442","90","33","39","45.83"
"469","Chris Kunitz","PIT","L","198","3529.9333333333","62","79","45","34","141","58.26","494","12.55","59.34","875","703","538","258","25","53","135","59","55","3","1","52","74","59","447","262","57","30","31","49.18"
"123","Zdeno Chara","BOS","D","240","6065.4333333333","33","107","56","51","140","43.61","730","4.52","32.73","1432","986","277","43","29","81","261","95","82","7","6","71","195","87","470","346","302","1","2","33.33"
"195","Mike Fisher","NSH, OTT","C","233","4393.9333333333","68","72","42","30","140","60.61","561","12.12","54.11","951","758","501","211","27","31","135","54","48","5","1","50","114","127","460","263","245","1869","1901","49.58"
"303","Lubomir Visnovsky","ANA, EDM","D","222","4980.25","39","101","36","65","140","44.59","395","9.87","26.94","879","587","227","38","8","38","91","39","37","1","1","23","153","92","152","194","300","1","0","100.00"
"400","Valtteri Filppula","DET","C","207","3668.8","50","90","57","33","140","72.54","373","13.40","39.25","679","517","437","188","11","37","60","29","29","0","0","54","111","113","106","387","73","967","907","51.60"
"510","Shea Weber","NSH","D","238","5922.2","51","89","50","39","140","43.48","706","7.22","42.32","1418","1071","279","34","22","61","138","66","64","2","0","35","149","147","553","221","359","0","0","-"
"522","Clarke MacArthur","ATL, BUF, TOR","L","236","3750.1333333333","57","83","54","29","140","74.07","431","13.23","42.6","784","566","457","194","37","34","121","48","43","3","2","67","116","78","237","327","73","81","99","45.00"
"559","Dustin Byfuglien","ATL, CHI, WPG","D","229","4825.7333333333","49","91","47","44","140","50.00","781","6.27","50.35","1487","1132","418","145","29","76","257","99","90","3","6","43","141","182","467","271","167","1","1","50.00"
"638","Ryan Callahan","NYR","R","213","4287","71","68","41","27","139","63.47","619","11.47","79.98","1059","850","712","388","38","56","155","62","55","5","2","106","42","145","780","357","246","29","43","40.28"
"347","Mike Cammalleri","CGY, MTL","L","198","3702.4333333333","65","73","42","31","138","65.40","586","11.09","54.17","1000","763","551","216","27","46","75","36","35","1","0","55","116","82","52","115","65","163","190","46.18"
"674","Rich Peverley","ATL, BOS","C","221","3990.1166666667","51","87","51","36","138","67.65","479","10.65","48.9","819","650","475","197","29","39","95","46","45","1","0","49","100","145","78","215","91","1507","1194","55.79"
"85","Milan Hejduk","COL","R","208","3715.6","59","78","46","32","137","65.24","493","11.97","47.17","778","619","481","181","20","53","42","19","19","0","0","22","60","100","74","225","81","8","19","29.63"
"56","Vinny Prospal","CBJ, NYR","L","186","3419","45","91","57","34","136","64.45","406","11.08","42.86","647","513","412","224","15","35","76","34","33","0","1","22","44","102","198","305","83","405","384","51.33"
"220","Michael Ryder","BOS, DAL","R","243","3823.8333333333","71","65","42","23","136","68.00","567","12.52","59.03","1005","752","572","239","38","47","107","47","45","1","1","50","87","113","265","311","93","41","53","43.62"
"592","Drew Stafford","BUF","R","213","3464.65","65","71","50","21","136","67.33","586","11.09","53.87","931","745","518","213","39","58","115","56","55","1","0","42","94","80","214","225","42","103","125","45.18"
"703","T.J. Oshie","STL","R","205","3894.8166666667","49","87","59","28","136","67.33","449","10.91","49.09","811","647","491","231","27","42","101","49","48","1","0","88","57","169","350","369","150","188","245","43.42"
"48","Saku Koivu","ANA","C","220","4095.55","45","90","48","42","135","60.27","335","13.43","40.24","579","442","404","186","15","30","112","56","56","0","0","46","114","95","163","143","76","1924","1758","52.25"
"984","Drew Doughty","L.A","D","235","5914.0666666667","37","98","53","45","135","44.41","449","8.24","30.52","1026","679","268","49","12","56","191","86","83","1","2","66","215","68","418","396","247","0","0","-"
"62","Andrew Brunette","CHI, MIN","L","242","3830.6333333333","55","79","52","27","134","63.81","321","17.13","45.65","462","411","365","261","4","26","32","16","16","0","0","46","73","49","81","263","66","19","23","45.24"
"174","Pascal Dupuis","PIT","R","244","3902.6666666667","60","74","45","29","134","74.03","542","11.07","45.13","934","734","477","212","36","57","109","47","45","1","1","32","52","85","314","228","148","70","106","39.77"
"210","Mikael Samuelsson","FLA, VAN","R","203","3379.5","62","72","48","24","134","64.11","572","10.84","44.22","1007","756","461","147","27","54","120","60","60","0","0","55","93","82","205","101","48","32","60","34.78"
"558","Toby Enstrom","ATL, WPG","D","216","5009.8166666667","22","112","54","58","134","46.69","316","6.96","16.92","669","433","155","29","11","48","122","59","59","0","0","33","88","70","74","374","320","0","0","-"
"247","Ryan Malone","T.B","L","191","3362.85","55","78","34","44","133","60.45","466","11.80","51.19","666","586","484","316","32","46","201","72","57","13","2","66","78","100","445","208","77","123","196","38.56"
"179","David Legwand","NSH","C","224","4181.9666666667","47","85","50","35","132","68.75","421","11.16","46.98","681","549","397","201","19","44","72","36","36","0","0","38","147","147","105","175","95","1445","1625","47.07"
"614","Brandon Dubinsky","NYR","C","223","4159.7833333333","54","78","51","27","132","61.40","507","10.65","59.01","890","690","592","289","36","48","254","96","81","12","3","94","57","122","477","338","103","1011","934","51.98"
"626","Johan Franzen","DET","R","180","3193.5166666667","67","65","38","27","132","64.71","550","12.18","53.2","938","771","542","201","23","33","120","56","55","0","1","42","83","79","249","196","71","168","185","47.59"
"672","Rene Bourque","CGY, MTL","R","229","4112.2333333333","72","60","37","23","132","70.59","592","12.16","59.09","1089","834","564","240","43","62","198","85","79","4","2","45","109","114","267","217","95","27","42","39.13"
"883","Teddy Purcell","L.A, T.B","L","222","3220.4666666667","47","84","49","35","131","65.50","449","10.47","38.62","790","593","432","155","27","45","36","17","17","0","0","25","75","97","77","174","35","17","41","29.31"
"905","Sam Gagner","EDM","C","211","3603.2833333333","48","82","49","33","130","67.01","457","10.50","47.04","815","654","420","196","24","44","106","41","36","4","1","44","113","74","75","250","68","1080","1265","46.06"
"912","Logan Couture","S.J","C","184","3149.55","68","62","43","19","130","80.25","540","12.59","57.04","926","732","512","262","29","70","63","30","29","1","0","37","68","125","116","299","153","1017","924","52.40"
"199","Erik Cole","CAR, MTL","L","204","3679.9666666667","72","57","34","23","129","63.86","523","13.77","60.61","921","702","581","305","35","65","126","56","53","2","1","89","81","121","505","288","84","35","70","33.33"
"268","Andy McDonald","STL","L","162","3057.55","54","75","38","37","129","70.88","435","12.41","44.6","703","583","432","188","26","47","46","23","23","0","0","34","61","64","89","208","60","514","398","56.36"
"421","Frans Nielsen","NYI","C","229","4000.75","42","87","51","36","129","64.18","425","9.88","42.8","735","576","421","183","29","37","50","17","15","0","2","43","98","184","91","223","170","1552","1734","47.23"
"826","Jordan Staal","PIT","C","186","3728.8166666667","57","72","49","23","129","68.25","435","13.10","46.49","761","586","502","233","37","56","115","47","44","1","2","54","67","100","292","215","77","1606","1677","48.92"
"156","Brenden Morrow","DAL","L","215","4005.7166666667","64","64","34","30","128","57.40","452","14.16","60.59","788","646","513","312","24","42","240","107","100","6","1","88","150","92","585","266","124","21","48","30.43"
"384","PA Parenteau","NYI, NYR","R","183","3269.45","41","87","50","37","128","65.31","367","11.17","37.44","594","467","370","150","19","36","139","60","57","1","2","54","119","91","232","298","55","25","43","36.76"
"794","Bryan Little","ATL, WPG","C","229","4143.3333333333","55","73","47","26","128","58.45","485","11.34","55.05","847","650","571","263","35","47","79","33","31","1","1","63","58","175","130","226","62","1417","1547","47.81"
"50","Todd Bertuzzi","DET","R","234","3772.2333333333","48","79","40","39","127","64.47","472","10.17","47.77","793","646","479","248","13","33","215","92","85","5","2","50","152","83","311","221","63","34","42","44.74"
"140","Tomas Kaberle","BOS, CAR, MTL, TOR","D","236","4921.6833333333","14","113","53","60","127","47.92","375","3.73","20.27","791","542","177","25","7","36","54","27","27","0","0","10","171","63","102","182","318","0","0","-"
"477","Milan Michalek","OTT","L","209","3902.5","75","52","34","18","127","59.62","542","13.84","64.11","921","758","638","328","23","61","99","48","47","1","0","67","55","115","162","312","117","9","18","33.33"
"329","Tuomo Ruutu","CAR","L","208","3447.7833333333","51","75","39","36","126","64.95","426","11.97","52.45","799","602","462","248","25","46","154","69","66","2","1","93","99","97","616","430","74","328","486","40.29"
"361","Christian Ehrhoff","BUF, VAN","D","225","5239.8333333333","33","93","45","48","126","38.07","526","6.27","29.55","1147","790","248","32","18","74","141","66","63","3","0","53","152","73","155","280","272","0","0","-"
"444","Alexander Steen","STL","L","183","3336.9333333333","59","67","37","30","126","67.02","541","10.91","47.52","1071","778","469","139","30","53","84","41","41","0","0","68","59","75","108","311","96","124","150","45.26"
"1090","Evander Kane","ATL, WPG","L","213","3523.7666666667","63","63","42","21","126","64.62","649","9.71","60.99","1055","859","625","291","38","56","183","78","72","5","1","115","80","116","424","453","87","55","79","41.04"
"582","Dustin Penner","EDM, L.A","R","228","3905.85","62","63","36","27","125","69.06","495","12.53","52.34","876","713","517","259","26","51","128","51","47","2","2","45","168","123","235","165","89","346","413","45.59"
"579","Curtis Glencross","CGY","L","213","3543.7833333333","65","59","33","26","124","75.15","376","17.29","41.5","639","509","381","168","24","38","179","65","55","7","3","58","138","136","264","183","131","107","140","43.32"
"625","Alexander Edler","VAN","D","209","4917.05","24","100","48","52","124","45.26","510","4.71","24.69","1127","759","268","48","16","46","98","49","49","0","0","27","127","71","310","548","346","0","7","0.00"
"832","Derick Brassard","CBJ","C","227","3649.45","40","84","55","29","124","66.31","433","9.24","41.18","764","538","401","188","14","52","145","63","59","3","1","63","65","82","355","178","41","902","1106","44.92"
"120","Matt Cullen","CAR, MIN, OTT","C","232","4307.5166666667","42","80","47","33","122","60.70","509","8.25","51.73","925","681","489","228","32","55","92","46","46","0","0","57","100","134","160","240","123","1672","1470","53.21"
