"","Player","Team","Position","GP","TOI","Goals","Total Assists","First Assists","Second Assists","Total Points","IPP","Shots","SH%","ixG","iCF","iFF","iSCF","iHDCF","Rush Attempts","Rebounds Created","PIM","Total Penalties","Minor","Major","Misconduct","Penalties Drawn","Giveaways","Takeaways","Hits","Hits Taken","Shots Blocked","Faceoffs Won","Faceoffs Lost","Faceoffs %"
"228","Henrik Sedin","VAN","C","246","4759.0666666667","62","225","135","90","287","76.53","436","14.22","52.16","728","563","461","241","19","43","140","69","69","0","0","61","117","118","60","150","51","2129","2087","50.50"
"985","Steven Stamkos","T.B","C","246","5144.75","156","127","74","53","283","74.08","872","17.89","92.85","1594","1237","918","335","49","63","178","85","84","0","1","110","160","129","261","235","112","1470","1688","46.55"
"172","Martin St. Louis","T.B","R","241","5250","85","182","111","71","267","72.75","681","12.48","69.26","1202","955","705","289","55","62","40","20","20","0","0","89","183","183","74","228","143","139","190","42.25"
"583","Alex Ovechkin","WSH","L","229","4792.9","120","139","81","58","259","73.58","1038","11.56","100.61","2206","1504","993","270","72","111","156","60","53","4","3","102","186","148","641","438","85","22","33","40.00"
"227","Daniel Sedin","VAN","L","217","4081.7833333333","100","156","91","65","256","77.58","720","13.89","76.69","1261","1008","721","358","31","76","100","50","50","0","0","32","101","89","42","165","30","21","48","30.43"
"147","Joe Thornton","S.J","C","241","4836.7","59","177","105","72","236","72.17","446","13.23","53.01","753","595","466","229","25","52","132","59","56","2","1","82","281","281","211","216","90","1894","1567","54.72"
"197","Brad Richards","DAL, NYR","C","234","4895.0666666667","77","157","96","61","234","75.00","785","9.81","62.35","1547","1144","610","163","31","80","60","26","25","0","1","32","192","151","87","217","93","1770","1676","51.36"
"499","Corey Perry","ANA","R","244","5266.9666666667","114","120","76","44","234","69.03","838","13.60","100.25","1400","1150","939","500","57","69","342","131","116","8","7","127","158","128","226","404","120","34","64","34.69"
"694","Anze Kopitar","L.A","C","239","5155.25","84","146","76","70","230","74.92","722","11.63","69.19","1281","1017","674","278","37","67","56","28","28","0","0","71","142","174","244","467","149","1944","1845","51.31"
"324","Ilya Kovalchuk","ATL, N.J","R","234","5383.9666666667","109","119","73","46","228","75.75","845","12.90","77.33","1595","1181","733","191","41","77","104","42","37","4","1","70","297","119","85","189","50","29","69","29.59"
"940","Patrick Kane","CHI","R","237","4639.05","80","147","86","61","227","75.42","730","10.96","68.29","1299","996","776","272","34","54","88","41","41","0","0","92","113","183","53","350","61","251","354","41.49"
"584","Evgeni Malkin","PIT","C","185","3824.3333333333","93","130","89","41","223","75.85","789","11.79","87.04","1396","1069","786","303","38","76","188","92","92","0","0","123","164","137","119","314","77","851","1057","44.60"
"98","Jarome Iginla","CGY","R","246","5095.8333333333","107","115","72","43","222","75.77","798","13.41","78.79","1469","1099","728","280","47","71","141","54","43","11","0","83","182","137","313","282","107","593","576","50.73"
"148","Patrick Marleau","S.J","C, L","246","5123.0833333333","111","109","55","54","220","66.27","805","13.79","88.74","1361","1093","806","363","62","95","64","32","32","0","0","47","180","126","246","273","97","847","784","51.93"
"250","Henrik Zetterberg","DET","L","236","4678.55","69","150","92","58","219","72.52","882","7.82","78.22","1549","1212","852","298","37","43","113","51","49","1","1","65","163","149","128","322","79","1608","1589","50.30"
"473","Eric Staal","CAR","C","233","4999.8166666667","86","130","82","48","216","68.79","835","10.30","95.23","1527","1179","863","421","58","107","188","81","78","0","3","91","133","175","204","261","84","2208","2386","48.06"
"822","Claude Giroux","PHI","C","241","4610.7166666667","69","147","93","54","216","78.83","556","12.41","63.19","1019","780","622","268","32","67","99","41","37","3","1","99","127","147","263","288","136","1673","1565","51.67"
"503","Loui Eriksson","DAL","L","243","4865.7333333333","82","133","71","62","215","73.38","580","14.14","65.43","938","783","636","345","44","49","46","22","22","0","0","71","110","168","77","390","134","12","19","38.71"
"686","Sidney Crosby","PIT","C","144","3083.3166666667","91","121","72","49","212","80.92","534","17.04","56.01","902","717","551","232","34","43","116","55","53","2","0","66","121","68","105","170","73","1774","1450","55.02"
"272","Marian Gaborik","NYR","R","220","4336.2666666667","105","105","69","36","210","76.64","740","14.19","93.66","1250","1004","910","429","45","70","89","41","40","1","0","44","113","89","168","285","93","2","7","22.22"
"839","Nicklas Backstrom","WSH","C","201","4060","65","145","87","58","210","70.71","519","12.52","53.04","875","710","491","191","19","54","114","51","50","0","1","40","112","155","190","254","151","1710","1632","51.17"
"359","Patrick Sharp","CHI","L","230","4395.7833333333","92","114","65","49","206","70.55","816","11.27","74.18","1397","1091","707","257","50","53","104","45","44","0","1","37","85","170","201","284","68","624","641","49.33"
"490","Ryan Getzlaf","ANA","C","215","4665.6333333333","49","153","88","65","202","68.94","451","10.86","46.99","916","688","488","150","22","47","187","79","71","7","1","52","230","109","549","243","178","1714","1947","46.82"
"1087","John Tavares","NYI","C","243","4683.9166666667","84","118","75","43","202","73.45","715","11.75","91.98","1217","949","826","457","38","102","101","49","48","1","0","93","193","229","91","410","74","2042","1991","50.63"
"834","Phil Kessel","TOR","R","234","4623.6833333333","99","102","68","34","201","76.14","917","10.80","82.54","1658","1224","894","271","51","84","65","31","30","1","0","62","173","114","36","184","56","92","117","44.02"
"855","Jonathan Toews","CHI","C","215","4411.6","86","115","75","40","201","66.12","620","13.87","69.11","898","767","624","344","25","50","101","49","48","1","0","90","79","244","162","400","75","2413","1774","57.63"
"271","Dany Heatley","MIN, S.J","L","244","4948.2666666667","89","110","68","42","199","65.03","735","12.11","89.97","1356","1043","843","402","42","108","138","67","67","0","0","51","156","100","255","346","109","59","63","48.36"
"325","Jason Spezza","OTT","C","202","3989.8166666667","78","120","75","45","198","71.22","585","13.33","60.46","1107","843","525","216","38","52","84","41","41","0","0","48","204","155","65","167","58","2104","1824","53.56"
"494","Ryan Kesler","VAN","C","241","4837.0666666667","88","109","66","43","197","65.02","696","12.64","82.92","1299","1006","772","378","38","93","226","94","87","4","3","128","69","191","327","393","212","2355","1893","55.44"
"217","Pavel Datsyuk","DET","C","206","4079.7","69","127","77","50","196","76.86","504","13.69","48.88","926","696","566","198","28","44","47","22","21","1","0","76","151","300","219","298","84","1721","1383","55.44"
"17","Teemu Selanne","ANA","R","209","3711.1666666667","84","110","72","38","194","76.08","596","14.09","72.12","960","814","642","305","22","46","115","43","39","1","3","49","130","83","52","198","53","304","345","46.84"
"27","Ray Whitney","CAR, PHX","L","237","4332.4166666667","62","130","89","41","192","70.33","512","12.11","58.93","964","737","534","236","22","60","78","35","34","0","1","55","113","125","81","152","52","52","72","41.94"
"399","Rick Nash","CBJ","R","233","4575.85","95","97","65","32","192","72.18","865","10.98","76.75","1466","1136","715","274","52","61","132","61","59","2","0","113","76","150","316","178","65","24","41","36.92"
"415","Alexander Semin","WSH","R","215","3856.4333333333","89","103","65","38","192","69.31","657","13.55","62.73","1372","975","683","214","55","67","193","90","88","1","1","72","139","175","88","206","46","11","29","27.50"
